Miltal;Modellår;Biltyp;Drivning;Hästkrafter;Färg;Märke;Modell;Län;Pris (Y);;;
1 491;2022;halvkombi;2;204;grå;hyundai;kona;kronoberg;349 800;;Umut;VW
9 800;2019;sedan;2;120;svart;hyundai;ioniq;göteborg;144 000;;Kamila;BMW
6 729;2020;suv;4;408;svart;audi;e-tron;skåne;528 900;;Kicki;Tesla - Kia
1 270;2022;suv;2;136;röd;hyundai;kona;uppsala;259 900;;Leonardo;Ford
11 748;2020;halvkombi;2;136;blå;hyundai;ioniq;örebro;209 800;;Matt;Audi - Hyundai
4 355;2020;suv;4;408;svart;audi;e-tron;malmö;548 900;;Quan;Nissan
6 400;2022;suv;2;204;blå;hyundai;kona;örebro;319 800;;Ali;MG
7 400;2020;suv;2;204;grå;hyundai;kona;örebro;274 800;;;44 var
4 998;2020;suv;2;204;grå;hyundai;kona;örebro;289 800;;;396  observationer
3 525;2020;suv;2;204;röd;hyundai;kona;örebro;289 800;;;
3 990;2023;sedan;4;476;svart;audi;e-tron;karlskrona;867 000;;28 kWh;120 hk
9 975;2019;suv;2;204;mörkgrå;hyundai;kona;karlskrona;237 000;;38.3 kWh;136 hk
4 045;2022;suv;4;300;grå;audi;q4;vimmerby;549 900;;72.6 kWh;218 hk
5 100;2021;sedan;2;218;grå;hyundai;ioniq;skövde;459 900;;77.4 kWh;325 hk
9 100;2022;suv;2;218;svart;hyundai;ioniq;värnamo;419 900;;;
4 073;2021;suv;4;408;grå;audi;e-tron;stockholm;534 900;;;
4 277;2022;suv;2;204;blå;audi;q4;järfälla;478 900;;;
10 500;2019;suv;4;408;svart;audi;e-tron;malmö;409 800;;;
3 520;2021;suv;4;504;svart;audi;e-tron;göteborg;719 800;;;
9 162;2019;suv;4;408;svart;audi;e-tron;stockholm;425 900;;;
3 977;2022;suv;4;408;grå;audi;e-tron;stockholm;626 900;;;
3 411;2022;suv;2;204;brun;hyundai;kona;stockholm;343 900;;;
2 289;2022;suv;2;218;grön;hyundai;ioniq;stockholm;439 900;;;
2 732;2022;suv;2;170;svart;audi;q4;stockholm;386 900;;;
5 483;2021;suv;4;408;svart;audi;e-tron;stockholm;494 900;;;
1 638;2022;suv;2;170;grå;audi;q4;stockholm;391 900;;;
3 550;2021;suv;4;408;svart;audi;e-tron;stockholm;497 900;;;
9 188;2019;suv;4;408;grå;audi;e-tron;stockholm;384 900;;;
7 466;2019;halvkombi;2;120;ljusgrå;hyundai;ioniq;stockholm;185 900;;;
7 735;2020;halvkombi;2;136;vit;hyundai;ioniq;stockholm;208 900;;;
7 417;2020;suv;4;408;svart;audi;e-tron;stockholm;414 900;;;
5 425;2022;suv;4;408;blå;audi;e-tron;stockholm;620 900;;;
